Temperature Precipitation Elevation Longitude Latitude
0.58 0 3.116 -105.122 37.214
0.53 2.44949 2.705 -106.97 38.87
0.95 5.291503 2.158 -104.87 39.1
1.39 14.69694 2.074 -106.73 36.6
1.13 2.236068 2.396 -105.48 38.13
1.58 0 1.326 -102.97 36.9
0.88 17.5784 2.583 -105.28 36.62
1.85 7.81025 1.51 -108.73 36.77
1.47 6.855655 1.028 -101.38 39.78
0.75 1 2.377 -107.47 40.03
0.53 0 2.901 -105.18 38.75
1.33 1.414214 1.884 -107.58 38.85
0.96 10.44031 1.833 -104.65 41.15
1.28 6.708204 1.982 -106.83 39.67
0.47 0 3.152 -107.294 40.108
0.54 1 3.098 -106.953 38.894
1.02 1.414214 2.475 -105.53 37.72
1.26 2 1.611 -105 39.75
0.97 8.888194 1.903 -107.65 41.03
1.03 6.244998 2.135 -105.32 39.63
1.12 1 1.695 -103.7 39.18
1.59 0 1.57 -103.32 37.45
1.27 2.828427 1.61 -108.8 40.08
0.88 10.95445 2.318 -106.13 40.05
1.4 2 1.418 -104.7 40.42
1.16 2.828427 1.903 -107.9 40.03
0.63 2.645751 2.866 -106.158 39.718
2.08 1.732051 2.156 -109.33 37.87
1.75 4.242641 2.464 -107.65 37.38
1.71 0 2.561 -106.657 36.956
2.14 1.732051 1.806 -108.08 40.52
1.43 1.732051 2.652 -106.969 40.848
2.47 0 1.552 -104.02 37.63
1.85 3.316625 2.332 -107.58 37.37
2.31 8.888194 0.903 -101.53 40.05
0.89 3.316625 3.384 -105.87 39.646
2.25 9.64365 1.115 -101.7 39.37
2.47 4.795832 1.214 -102.28 37.4
1.38 2.44949 2.707 -106.67 40.08
1.55 0 3.003 -105.341 36.699
1.55 1.732051 2.561 -106.781 40.534
2.52 4.690416 1.409 -108.58 39.07
2.16 0 1.976 -109.03 37.82
1.47 1 2.485 -107.167 41.117
1.89 0 2.379 -107.17 38.47
2.4 1 1.498 -104.65 38.18
1.08 3.872983 3.024 -107.9667 41.15
1.47 4.358899 3.232 -105.25 37
2.53 3.872983 1.841 -109.48 37.62
1.61 1 2.471 -106.27 40.73
1.22 0 3.116 -105.122 37.214
1.44 1.732051 2.705 -106.97 38.87
1.79 4.582576 2.158 -104.87 39.1
2.18 12.72792 2.074 -106.73 36.6
1.86 1.732051 2.396 -105.48 38.13
2.46 0 1.326 -102.97 36.9
1.8 13.60147 2.583 -105.28 36.62
2.76 12.12436 1.51 -108.73 36.77
2.26 8.306624 1.028 -101.38 39.78
1.64 0 2.377 -107.47 40.03
1.29 0 2.901 -105.18 38.75
2.25 0 1.884 -107.58 38.85
1.88 5 1.833 -104.65 41.15
2.1 4.795832 1.982 -106.83 39.67
1.21 0 3.152 -107.294 40.108
1.19 0 3.098 -106.953 38.894
1.76 0 2.475 -105.53 37.72
2.23 0 1.611 -105 39.75
1.99 7.211103 1.903 -107.65 41.03
1.88 3.464102 2.135 -105.32 39.63
2 0 1.695 -103.7 39.18
2.52 0 1.57 -103.32 37.45
2.27 3 1.61 -108.8 40.08
1.68 6.244998 2.318 -106.13 40.05
2.34 1 1.418 -104.7 40.42
2.05 7 1.903 -107.9 40.03
1.34 2.645751 2.866 -106.158 39.718
2.53 6.78233 2.156 -109.33 37.87
2.24 3.316625 2.464 -107.65 37.38
2.27 0 2.561 -106.657 36.956
2.71 1.414214 1.806 -108.08 40.52
2.01 0 2.652 -106.969 40.848
3 0 1.552 -104.02 37.63
2.21 3.605551 2.332 -107.58 37.37
2.93 6.082763 0.903 -101.53 40.05
1.52 9.486833 3.384 -105.87 39.646
2.85 7.348469 1.115 -101.7 39.37
2.98 5.477226 1.214 -102.28 37.4
2.11 4.242641 2.707 -106.67 40.08
2.17 0 3.003 -105.341 36.699
2.14 1 2.561 -106.781 40.534
3.07 5.477226 1.409 -108.58 39.07
2.67 1 1.976 -109.03 37.82
2.07 0 2.485 -107.167 41.117
2.5 0 2.379 -107.17 38.47
2.92 0 1.498 -104.65 38.18
1.62 5 3.024 -107.9667 41.15
1.97 2.645751 3.232 -105.25 37
2.98 7.681146 1.841 -109.48 37.62
2.27 1 2.471 -106.27 40.73
1.76 2 3.116 -105.122 37.214
2.06 1 2.705 -106.97 38.87
2.4 6 2.158 -104.87 39.1
2.72 12.4499 2.074 -106.73 36.6
2.41 1.732051 2.396 -105.48 38.13
2.92 5.385165 1.326 -102.97 36.9
2.29 12.52996 2.583 -105.28 36.62
3.24 9.055385 1.51 -108.73 36.77
2.92 7.874008 1.028 -101.38 39.78
2.24 2.44949 2.377 -107.47 40.03
1.95 0 2.901 -105.18 38.75
2.71 0 1.884 -107.58 38.85
2.4 6.480741 1.833 -104.65 41.15
2.69 6.708204 1.982 -106.83 39.67
1.71 0 3.152 -107.294 40.108
1.92 0 3.098 -106.953 38.894
2.39 0 2.475 -105.53 37.72
2.78 0 1.611 -105 39.75
2.55 7.071068 1.903 -107.65 41.03
2.46 5 2.135 -105.32 39.63
2.59 0 1.695 -103.7 39.18
3.05 1 1.57 -103.32 37.45
2.86 2.236068 1.61 -108.8 40.08
2.3 5.744563 2.318 -106.13 40.05
2.86 1.414214 1.418 -104.7 40.42
2.58 3.464102 1.903 -107.9 40.03
2.06 1.414214 2.866 -106.158 39.718
2.83 3.605551 2.156 -109.33 37.87
2.55 0 2.464 -107.65 37.38
2.56 0 2.561 -106.657 36.956
2.96 0 1.806 -108.08 40.52
2.29 0 2.652 -106.969 40.848
3.36 0 1.552 -104.02 37.63
2.49 0 2.332 -107.58 37.37
3.34 10.95445 0.903 -101.53 40.05
1.79 3.316625 3.384 -105.87 39.646
3.21 4.795832 1.115 -101.7 39.37
3.48 0 1.214 -102.28 37.4
2.31 0 2.707 -106.67 40.08
2.41 1 3.003 -105.341 36.699
2.36 0 2.561 -106.781 40.534
3.38 3.316625 1.409 -108.58 39.07
2.94 0 1.976 -109.03 37.82
2.34 0 2.485 -107.167 41.117
2.61 1.414214 2.379 -107.17 38.47
3.33 0 1.498 -104.65 38.18
1.88 0 3.024 -107.9667 41.15
2.24 0 3.232 -105.25 37
3.24 13.37909 1.841 -109.48 37.62
2.56 1 2.471 -106.27 40.73
1.97 0 3.116 -105.122 37.214
2.32 0 2.705 -106.97 38.87
3.06 1.732051 2.158 -104.87 39.1
3.01 9.486833 2.074 -106.73 36.6
2.83 0 2.396 -105.48 38.13
3.37 3.872983 1.326 -102.97 36.9
2.61 10.0995 2.583 -105.28 36.62
3.44 12 1.51 -108.73 36.77
3.35 8.602325 1.028 -101.38 39.78
2.41 3 2.377 -107.47 40.03
2.27 0 2.901 -105.18 38.75
2.93 0 1.884 -107.58 38.85
2.91 4.242641 1.833 -104.65 41.15
2.97 0 1.982 -106.83 39.67
1.96 0 3.152 -107.294 40.108
2.21 0 3.098 -106.953 38.894
2.64 1 2.475 -105.53 37.72
3.08 3 1.611 -105 39.75
2.91 3 1.903 -107.65 41.03
2.75 4.358899 2.135 -105.32 39.63
3.01 2.828427 1.695 -103.7 39.18
3.46 1 1.57 -103.32 37.45
3.11 0 1.61 -108.8 40.08
2.7 0 2.318 -106.13 40.05
3.24 0 1.418 -104.7 40.42
2.89 0 1.903 -107.9 40.03
2.23 0 2.866 -106.158 39.718
2.61 3.605551 2.156 -109.33 37.87
2.39 4.358899 2.464 -107.65 37.38
2.37 0 2.561 -106.657 36.956
2.84 0 1.806 -108.08 40.52
2.13 0 2.652 -106.969 40.848
3.13 0 1.552 -104.02 37.63
2.38 4.242641 2.332 -107.58 37.37
3.04 10.63015 0.903 -101.53 40.05
1.61 5.656854 3.384 -105.87 39.646
2.86 10.86278 1.115 -101.7 39.37
3.06 3 1.214 -102.28 37.4
2.11 4.898979 2.707 -106.67 40.08
2.28 0 3.003 -105.341 36.699
2.21 0 2.561 -106.781 40.534
3.16 2.645751 1.409 -108.58 39.07
2.76 0 1.976 -109.03 37.82
2.22 1 2.485 -107.167 41.117
2.44 1 2.379 -107.17 38.47
2.98 0 1.498 -104.65 38.18
1.78 4.795832 3.024 -107.9667 41.15
2.01 4.582576 3.232 -105.25 37
3 4.690416 1.841 -109.48 37.62
2.38 0 2.471 -106.27 40.73
1.91 0 3.116 -105.122 37.214
2.16 1.414214 2.705 -106.97 38.87
2.67 0 2.158 -104.87 39.1
2.87 9.848858 2.074 -106.73 36.6
2.54 0 2.396 -105.48 38.13
3.08 0 1.326 -102.97 36.9
2.49 9.433981 2.583 -105.28 36.62
3.29 8.306624 1.51 -108.73 36.77
3.01 12.56981 1.028 -101.38 39.78
2.29 3.316625 2.377 -107.47 40.03
2.02 0 2.901 -105.18 38.75
2.82 0 1.884 -107.58 38.85
2.56 1.414214 1.833 -104.65 41.15
2.76 4.242641 1.982 -106.83 39.67
1.79 0 3.152 -107.294 40.108
1.99 0 3.098 -106.953 38.894
2.47 0 2.475 -105.53 37.72
2.81 1 1.611 -105 39.75
2.75 4.472136 1.903 -107.65 41.03
2.54 2.44949 2.135 -105.32 39.63
2.64 1 1.695 -103.7 39.18
3.04 1.732051 1.57 -103.32 37.45
2.98 1 1.61 -108.8 40.08
2.47 4.123106 2.318 -106.13 40.05
2.93 1 1.418 -104.7 40.42
2.78 0 1.903 -107.9 40.03
2.04 2.645751 2.866 -106.158 39.718
2.27 6.557439 2.156 -109.33 37.87
2.18 3.316625 2.464 -107.65 37.38
2.15 1.414214 2.561 -106.657 36.956
2.34 0 1.806 -108.08 40.52
1.73 0 2.652 -106.969 40.848
2.89 3.316625 1.552 -104.02 37.63
2.16 2.828427 2.332 -107.58 37.37
2.81 6 0.903 -101.53 40.05
1.41 5.385165 3.384 -105.87 39.646
2.64 7.416198 1.115 -101.7 39.37
2.81 5.567764 1.214 -102.28 37.4
1.86 1.732051 2.707 -106.67 40.08
2.07 0 3.003 -105.341 36.699
1.83 0 2.561 -106.781 40.534
2.67 6.244998 1.409 -108.58 39.07
2.41 5.09902 1.976 -109.03 37.82
1.79 0 2.485 -107.167 41.117
2.11 5 2.379 -107.17 38.47
2.68 5.656854 1.498 -104.65 38.18
1.31 3.316625 3.024 -107.9667 41.15
1.77 1 3.232 -105.25 37
2.74 4 1.841 -109.48 37.62
2.02 6.403124 2.471 -106.27 40.73
1.75 5.291503 3.116 -105.122 37.214
1.86 0 2.705 -106.97 38.87
2.19 2.828427 2.158 -104.87 39.1
2.59 6 2.074 -106.73 36.6
2.37 0 2.396 -105.48 38.13
2.83 6.480741 1.326 -102.97 36.9
2.26 9.055385 2.583 -105.28 36.62
2.99 11 1.51 -108.73 36.77
2.77 6.082763 1.028 -101.38 39.78
2.09 6.164414 2.377 -107.47 40.03
1.83 2.645751 2.901 -105.18 38.75
2.4 1.414214 1.884 -107.58 38.85
2.26 6.082763 1.833 -104.65 41.15
2.46 3.464102 1.982 -106.83 39.67
1.44 1.414214 3.152 -107.294 40.108
1.79 2 3.098 -106.953 38.894
2.26 5.744563 2.475 -105.53 37.72
2.5 7.615773 1.611 -105 39.75
2.24 8.660254 1.903 -107.65 41.03
2.31 5.196152 2.135 -105.32 39.63
2.44 4 1.695 -103.7 39.18
2.88 6.403124 1.57 -103.32 37.45
2.43 0 1.61 -108.8 40.08
2.23 5.91608 2.318 -106.13 40.05
2.68 1 1.418 -104.7 40.42
2.27 5.291503 1.903 -107.9 40.03
1.78 1 2.866 -106.158 39.718
1.53 5.196152 2.156 -109.33 37.87
1.54 5.09902 2.464 -107.65 37.38
1.37 0 2.561 -106.657 36.956
1.64 3.162278 1.806 -108.08 40.52
1.03 2.44949 2.652 -106.969 40.848
2.05 0 1.552 -104.02 37.63
1.52 6.557439 2.332 -107.58 37.37
2.07 7.211103 0.903 -101.53 40.05
0.62 6.855655 3.384 -105.87 39.646
1.79 6.557439 1.115 -101.7 39.37
1.97 10.34408 1.214 -102.28 37.4
1.07 5.567764 2.707 -106.67 40.08
1.05 1 3.003 -105.341 36.699
1.15 2.44949 2.561 -106.781 40.534
1.92 6.855655 1.409 -108.58 39.07
1.65 1.414214 1.976 -109.03 37.82
1.11 2 2.485 -107.167 41.117
1.57 1 2.379 -107.17 38.47
1.97 1.414214 1.498 -104.65 38.18
0.45 8.3666 3.024 -107.9667 41.15
1.07 5.567764 3.232 -105.25 37
1.85 4 1.841 -109.48 37.62
1.28 3.162278 2.471 -106.27 40.73
1.07 0 3.116 -105.122 37.214
1.13 3.605551 2.705 -106.97 38.87
1.47 5 2.158 -104.87 39.1
1.9 11.53256 2.074 -106.73 36.6
1.62 1.732051 2.396 -105.48 38.13
2.19 1.414214 1.326 -102.97 36.9
1.41 11.22497 2.583 -105.28 36.62
2.23 8.660254 1.51 -108.73 36.77
1.93 6.480741 1.028 -101.38 39.78
1.33 1 2.377 -107.47 40.03
1.16 0 2.901 -105.18 38.75
1.8 1.414214 1.884 -107.58 38.85
1.62 7.681146 1.833 -104.65 41.15
1.77 9.327379 1.982 -106.83 39.67
0.82 3.741657 3.152 -107.294 40.108
0.99 0 3.098 -106.953 38.894
1.47 1 2.475 -105.53 37.72
1.88 0 1.611 -105 39.75
1.52 12.4499 1.903 -107.65 41.03
1.76 7.874008 2.135 -105.32 39.63
1.63 3.162278 1.695 -103.7 39.18
1.84 0 1.57 -103.32 37.45
1.73 3.741657 1.61 -108.8 40.08
1.5 12.12436 2.318 -106.13 40.05
1.87 2.44949 1.418 -104.7 40.42
1.61 5.09902 1.903 -107.9 40.03
0.98 2.828427 2.866 -106.158 39.718
0.78 0 2.156 -109.33 37.87
0.82 14.76482 2.464 -107.65 37.38
0.66 9.055385 2.561 -106.657 36.956
0.68 9.380832 1.806 -108.08 40.52
0.19 10.04988 2.652 -106.969 40.848
1.03 8 1.552 -104.02 37.63
0.77 14.96663 2.332 -107.58 37.37
1.14 11.83216 0.903 -101.53 40.05
-0.23 15.74802 3.384 -105.87 39.646
0.87 8.717798 1.115 -101.7 39.37
1.06 16.76305 1.214 -102.28 37.4
0.17 14.31782 2.707 -106.67 40.08
0.3 10.34408 3.003 -105.341 36.699
0.27 9.591663 2.561 -106.781 40.534
1.03 8.544004 1.409 -108.58 39.07
0.89 6.557439 1.976 -109.03 37.82
0.22 12.40967 2.485 -107.167 41.117
0.52 3.316625 2.379 -107.17 38.47
0.98 6.324555 1.498 -104.65 38.18
-0.41 13.0384 3.024 -107.9667 41.15
0.43 13.82027 3.232 -105.25 37
1.16 2.645751 1.841 -109.48 37.62
0.34 5.656854 2.471 -106.27 40.73
0.3 11.26943 3.116 -105.122 37.214
0.22 11.7047 2.705 -106.97 38.87
0.56 10.48809 2.158 -104.87 39.1
1.07 9.591663 2.074 -106.73 36.6
0.73 8.124038 2.396 -105.48 38.13
1.31 4.242641 1.326 -102.97 36.9
0.55 10.3923 2.583 -105.28 36.62
1.46 6.708204 1.51 -108.73 36.77
0.98 6.324555 1.028 -101.38 39.78
0.44 2.236068 2.377 -107.47 40.03
0.29 8.062258 2.901 -105.18 38.75
0.91 7.874008 1.884 -107.58 38.85
0.7 7.745967 1.833 -104.65 41.15
0.78 15.32971 1.982 -106.83 39.67
-0.04 7.28011 3.152 -107.294 40.108
0.02 9.69536 3.098 -106.953 38.894
0.55 4.123106 2.475 -105.53 37.72
0.98 0 1.611 -105 39.75
0.54 11.35782 1.903 -107.65 41.03
0.88 12.08305 2.135 -105.32 39.63
0.68 7.81025 1.695 -103.7 39.18
0.95 4.123106 1.57 -103.32 37.45
0.72 9.110434 1.61 -108.8 40.08
0.54 20.97618 2.318 -106.13 40.05
0.89 11.44552 1.418 -104.7 40.42
0.79 4.242641 1.903 -107.9 40.03
0.1 12.4499 2.866 -106.158 39.718
0.14 0 2.156 -109.33 37.87
0.38 8.774964 2.464 -107.65 37.38
0.18 8.944272 2.561 -106.657 36.956
0.04 7 1.806 -108.08 40.52
-0.04 8.888194 2.652 -106.969 40.848
0.51 9.327379 1.552 -104.02 37.63
0.34 8.3666 2.332 -107.58 37.37
0.53 8.774964 0.903 -101.53 40.05
-0.51 9.433981 3.384 -105.87 39.646
0.25 7 1.115 -101.7 39.37
0.29 12.92285 1.214 -102.28 37.4
-0.28 9.899495 2.707 -106.67 40.08
-0.08 10.29563 3.003 -105.341 36.699
-0.09 7.549834 2.561 -106.781 40.534
0.44 7.81025 1.409 -108.58 39.07
0.34 8.185353 1.976 -109.03 37.82
-0.04 13.67479 2.485 -107.167 41.117
-0.08 5.196152 2.379 -107.17 38.47
0.54 5.830952 1.498 -104.65 38.18
-0.71 7.483315 3.024 -107.9667 41.15
0.08 8.246211 3.232 -105.25 37
0.6 1.414214 1.841 -109.48 37.62
-0.02 8.660254 2.471 -106.27 40.73
-0.08 11.6619 3.116 -105.122 37.214
-0.42 8.660254 2.705 -106.97 38.87
0.25 10.63015 2.158 -104.87 39.1
0.42 8.544004 2.074 -106.73 36.6
0.23 6.244998 2.396 -105.48 38.13
0.63 6.082763 1.326 -102.97 36.9
0.16 12.92285 2.583 -105.28 36.62
0.73 8.246211 1.51 -108.73 36.77
0.38 3.162278 1.028 -101.38 39.78
0.03 2.828427 2.377 -107.47 40.03
0.02 10.95445 2.901 -105.18 38.75
0.27 6.557439 1.884 -107.58 38.85
0.38 6.928203 1.833 -104.65 41.15
0.16 11 1.982 -106.83 39.67
-0.33 7.28011 3.152 -107.294 40.108
-0.26 9.539392 3.098 -106.953 38.894
-0.15 5.477226 2.475 -105.53 37.72
0.59 6.480741 1.611 -105 39.75
-0.06 10.04988 1.903 -107.65 41.03
0.55 10.04988 2.135 -105.32 39.63
0.19 11.18034 1.695 -103.7 39.18
0.32 4.123106 1.57 -103.32 37.45
-0.07 8.944272 1.61 -108.8 40.08
-0.06 17.5784 2.318 -106.13 40.05
0.51 11 1.418 -104.7 40.42
0.23 17.83255 1.903 -107.9 40.03
-0.26 13.41641 2.866 -106.158 39.718
